Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,2123,1420,1155,31130,957.90,0.094%,.58954,0.54,0.23,944.7
Get_User_info,2121,344,1,5923,153.29,0.141%,.58941,4.52,0.41,7860.5
Login_cont,2121,1764,1442,31390,969.46,0.141%,.58918,5.07,0.64,8805.2
Rheem_rm_manageUsers,2121,382,1,1369,56.75,0.141%,.58940,0.36,0.46,625.8
Rheem_rm_subscription_plans,4239,318,1,2735,82.62,0.118%,1.17814,9.49,0.85,8250.4
User_Profile Cont,2120,702,501,3109,102.98,0.142%,.58914,5.11,0.89,8877.6
Rheem_rm_deviceAlertsList,2119,398,251,2334,121.71,0.094%,.58944,0.38,0.42,668.0
Rheem_rm_alert_notification,6347,951,249,8237,436.39,0.095%,1.76253,217.88,1.28,126583.1
Rheem_rm_userFeedback,2119,343,251,1369,49.99,0.094%,.58944,0.36,0.42,618.0
Rheem_rheem_getAppPreferences,2119,348,251,1109,47.53,0.094%,.58944,0.87,0.45,1514.2
Rheem_rm_alertsOverview ,2119,281,251,1146,44.23,0.094%,.58945,0.38,0.43,652.1
Rheem_rm_deviceAlertsList(Lat_Long),2119,3529,251,24759,2386.17,0.094%,.58904,769.92,0.51,1338457.5
Device _ Management_Cont,2119,6001,1769,27562,2453.89,0.142%,.58865,789.90,3.07,1374098.5
Rheem_rm_deviceAlertsList ,2117,964,755,3355,164.66,0.094%,.58957,0.37,0.46,650.1
Rheem_rm_product_info,4230,592,249,4168,330.85,0.095%,1.17826,0.70,0.95,606.1
Rheem_rm_product_info_read,2117,272,249,5778,124.20,0.094%,.58968,0.96,0.46,1666.1
Rheem_rm_deviceTemperatureDetails,4230,319,1,1422,49.93,0.118%,1.17823,1.47,1.02,1279.9
Rheem_rm_bidirectionaldisable,2117,319,249,5606,119.66,0.094%,.58967,0.38,0.52,657.0
Rheem_rm_stream_get_bidirectional_session,2117,266,1,440,11.80,0.142%,.58968,0.34,0.49,592.0
Rheem_rm_remoteAccessHistory,2117,322,249,2016,72.20,0.094%,.58967,0.32,0.47,558.1
Rheem_rm_deviceNotes,4230,395,249,5682,106.24,0.118%,1.17823,0.72,0.90,629.4
Rheem_rm_deviceAlerts,2117,1699,2,100921,9997.02,0.142%,.58967,2.52,0.46,4384.6
Rheem_rm_deviceLocationContactOverview,2117,409,250,6140,161.93,0.094%,.58971,0.47,0.55,823.9
Rheem_rm_deviceHealthStatus,4230,663,1,6506,289.61,0.118%,1.17832,1.97,0.95,1713.7
Rheem_rm_deviceAlertsList(LatestAlerts),2117,445,251,2253,129.22,0.094%,.58970,0.37,0.47,650.1
Device_Details_Cont,2117,6871,3763,108204,10183.43,0.283%,.58879,21.72,6.21,37777.5
Rheem_rm_handleSystems,4226,564,250,7126,227.99,0.095%,1.18190,7.16,0.92,6200.9
Rheem_rm_systemwidgets{getweather},2113,357,250,1611,62.47,0.095%,.59124,0.38,0.45,656.0
Rheem_rm_systemwidgets{widgetread},2113,308,260,5216,162.28,0.142%,.59125,0.36,0.47,620.8
System_Page_Cont,2113,3103,2075,9432,414.98,0.189%,.59080,8.60,2.75,14914.5
Rheem_rm_deviceSchedule,4220,1119,0,7109,252.47,0.190%,1.17838,1.91,0.98,1656.9
Rheem_rm_detailswarrantyOverview,2113,320,1,5478,129.70,0.142%,.59132,0.66,0.47,1136.2
Rheem_rm_systemwidgets{read},2113,298,1,1155,40.69,0.142%,.59133,0.36,0.47,621.0
Scheduling_Page_Cont,2113,2984,1760,9195,339.87,0.189%,.59082,4.00,2.43,6939.3
Rheem_rm_myRheem,2113,934,321,6883,210.88,0.095%,.59124,1.79,0.42,3094.7
User_Management_Cont,2113,934,321,6883,210.88,0.095%,.59124,1.79,0.42,3094.7
Rheem_rm_remoteAccessSessions,2113,784,249,102253,6144.74,0.189%,.59124,0.32,0.43,558.2
Remote_Sessions_Cont,2113,784,249,102253,6144.74,0.189%,.59124,0.32,0.43,558.2
Rheem_rm_userSettings,2113,349,250,3106,92.72,0.095%,.59125,1.34,0.44,2320.5
Settings_Cont,2113,349,250,3106,92.72,0.095%,.59125,1.34,0.44,2320.5
Rheem_rm_findMyDevices,2113,3146,250,15735,849.26,0.095%,.59084,0.66,0.44,1146.6
Find_my_device_Cont,2113,3146,250,15735,849.26,0.095%,.59084,0.66,0.44,1146.6
Rheem_rm_homeOwner,2113,2308,67,16867,704.44,0.142%,.59310,152.53,0.45,263340.2
Rheem_rm_customerDetails{dashboardOverview},2112,498,0,4179,151.95,0.331%,.59342,4.60,0.49,7946.2
Rheem_rm_customerDetails{deviceAlertHistory},2111,618,249,4919,167.83,0.095%,.59332,0.69,0.49,1191.5
Rheem_rm_healthcheck,2106,1359,250,4372,310.46,0.095%,.59221,0.42,0.38,730.0
Home_Owner_Management_Cont,2106,7197,1504,23663,1244.59,0.570%,.59121,350.60,2.74,607254.3
TOTAL,118455,1208,0,108204,2779.90,0.133%,32.85649,2368.02,40.70,73801.4
