Label,Samples,Average,Min,Max,StdDev,Error%,Throughput,KB/sec,AvgBytes
Rheem_rm_loginMetaData,5,801.00,793.00,812.00,7.03,0.00,0.46,3.41,7538.00
RMP_Login,5,875.00,795.00,1081.00,107.13,0.00,0.46,0.43,945.00
Get_User_info,5,970.00,724.00,1349.00,208.93,0.00,0.46,3.19,7051.00
Rheem_getAppPreferences,5,762.00,700.00,873.00,62.57,0.00,0.49,0.73,1530.00
Rheem_rm_manageUsers,5,774.00,623.00,1060.00,152.01,0.00,0.48,0.29,625.00
Rheem_rm_subscription_plans,10,882.00,599.00,1680.00,393.63,0.00,0.66,0.42,648.00
Rheem_rm_deviceAlertsList,5,423.00,302.00,488.00,63.22,0.00,0.50,0.32,668.00
Rheem_rm_alert_notification,10,690.00,334.00,1194.00,256.58,0.00,0.26,3.45,13343.00
Rheem_rm_userFeedback,5,1259.00,736.00,2247.00,609.68,0.00,0.42,0.25,618.00
Rheem_rheem_getAppPreferences,5,1213.00,729.00,1956.00,470.59,0.00,0.44,0.66,1530.00
Rheem_rm_alertsOverview,5,913.00,685.00,1438.00,268.05,0.00,0.44,0.28,652.00
Rheem_rm_product_info,10,1191.00,721.00,2215.00,432.11,0.00,0.33,0.20,606.00
Rheem_rm_product_info_read,5,1384.00,824.00,2317.00,576.34,0.00,0.39,0.79,2067.00
Rheem_rm_myrheemWarrantyOverview,5,1817.00,1377.00,2329.00,304.56,0.00,0.36,1.24,3491.00
Rheem_rm_deviceTemperatureDetails,10,1188.00,799.00,2684.00,549.59,0.00,0.25,0.38,1578.80
Rheem_rm_bidirectionaldisable,5,1312.00,857.00,2002.00,396.72,0.00,0.33,0.28,877.60
Rheem_rm_stream_get_bidirectional_session,5,305.00,282.00,340.00,19.80,0.00,0.34,0.20,591.00
Rheem_rm_remoteAccessHistory,5,1152.00,674.00,1545.00,330.52,0.00,0.33,6.31,19323.00
Rheem_rm_deviceNotes,10,1247.00,742.00,2098.00,371.87,0.00,0.35,0.26,764.00
Rheem_rm_deviceAlerts,5,2567.00,1574.00,3311.00,626.64,0.00,0.31,25.77,84723.20
Rheem_rm_handleSystems,10,831.00,404.00,1766.00,422.38,0.00,0.43,1.76,4154.50
Rheem_rm_systemwidgets{getweather},5,2430.00,1895.00,3382.00,518.59,0.00,0.32,0.27,872.00
Rheem_rm_systemwidgets{widgetread},5,1596.00,670.00,2676.00,667.48,0.00,0.31,0.44,1480.00
Rheem_rm_deviceHealthStatus,5,1231.00,780.00,2003.00,413.08,0.00,0.31,1.32,4404.00
Rheem_rm_deviceSchedule,5,1889.00,1304.00,3629.00,873.40,0.00,0.30,0.60,2039.00
Rheem_rm_detailswarrantyOverview,5,1208.00,601.00,2076.00,494.81,0.00,0.32,0.28,898.00
Rheem_rm_systemwidgets{read},5,1089.00,714.00,1518.00,296.65,0.00,0.32,0.46,1480.00
Rheem_rm_myRheem,5,886.00,776.00,1019.00,89.89,0.00,0.33,13.42,42133.00
Rheem_rm_remoteAccessSessions,5,731.00,482.00,1068.00,234.96,0.00,0.32,0.18,558.00
Rheem_rm_submitFeedback,5,1543.00,620.00,2674.00,688.74,0.00,0.31,0.20,644.00
Rheem_rm_userSettings,5,902.00,708.00,1220.00,184.15,0.00,0.36,0.81,2318.00
Rheem_rm_findMyDevices,5,2766.00,1151.00,4162.00,1096.27,0.00,0.35,0.39,1129.00
Logout,5,260.00,260.00,261.00,0.40,0.00,0.46,0.24,521.00

