Label,Samples,Average,Min,Max,StdDev,Error%,Throughput,KB/sec,AvgBytes
Login_Cont,5,3408.00,3182.00,3912.00,261.22,0.00,0.31,5.14,17064.00
User_Profile_Cont,5,1633.00,1228.00,2365.00,390.54,0.00,0.38,0.48,1273.00
Device_Management_Cont,5,5276.00,4730.00,5820.00,438.96,0.00,0.23,3.98,17459.00
Device_Details_Cont,5,13935.00,11088.00,15755.00,1763.02,0.00,0.17,21.56,129565.60
System_Page_Cont,5,7975.00,7112.00,8614.00,502.57,0.00,0.20,2.36,12031.00
Scheduling_Page_Cont,5,6319.00,4997.00,7389.00,826.85,0.00,0.23,2.27,10185.80
User_Management_Cont,5,886.00,776.00,1019.00,89.89,0.00,0.32,13.16,42133.00
Remote_Sessions_Cont,5,731.00,482.00,1068.00,234.96,0.00,0.32,0.17,558.00
Faq_Feedback_Cont,5,1543.00,620.00,2674.00,688.74,0.00,0.31,0.19,644.00
Settings_Cont,5,902.00,708.00,1220.00,184.15,0.00,0.35,0.79,2318.00
Find_my_device_Cont,5,2766.00,1151.00,4162.00,1096.27,0.00,0.34,0.38,1129.00
Logout_Cont,5,260.00,260.00,261.00,0.40,0.00,0.45,0.23,521.00

