Label,Samples,Average,Min,Max,StdDev,Error%,Throughput,KB/sec,AvgBytes
Rheem_rm_loginMetaData,20,862.00,778.00,1181.00,118.70,0.00,0.49,3.58,7538.00
RMP_Login,20,1237.00,739.00,5278.00,979.15,0.00,0.48,0.44,945.00
Get_User_info,20,3019.00,687.00,15566.00,4122.75,0.00,0.45,3.12,7051.00
Rheem_getAppPreferences,20,4705.00,591.00,15734.00,4977.79,0.00,0.34,0.51,1530.00
Rheem_rm_manageUsers,20,5019.00,598.00,18699.00,5769.20,0.00,0.26,0.16,625.00
Rheem_rm_subscription_plans,40,7134.00,603.00,18805.00,6487.00,0.00,0.43,0.27,648.00
Rheem_rm_deviceAlertsList,20,1779.00,299.00,8198.00,2481.58,0.00,0.26,0.17,668.00
Rheem_rm_alert_notification,40,5973.00,325.00,12744.00,4577.79,0.00,0.15,2.08,13825.00
Rheem_rm_userFeedback,20,7502.00,585.00,18995.00,7171.20,0.00,0.19,0.12,618.00
Rheem_rheem_getAppPreferences,20,9432.00,664.00,19304.00,7063.07,0.00,0.17,0.25,1530.00
Rheem_rm_alertsOverview,20,8904.00,604.00,22098.00,7774.26,0.00,0.15,0.09,652.00
Rheem_rm_product_info,40,9747.00,609.00,26194.00,9320.43,0.00,0.15,0.09,606.00
Rheem_rm_product_info_read,20,9225.00,609.00,23506.00,8008.51,0.00,0.14,0.28,2067.00
Rheem_rm_myrheemWarrantyOverview,20,12319.00,1214.00,24602.00,9109.66,0.00,0.13,0.43,3491.00
Rheem_rm_deviceTemperatureDetails,40,8003.00,254.00,26701.00,8662.30,0.05,0.13,0.20,1551.18
Rheem_rm_bidirectionaldisable,20,10964.00,607.00,26199.00,9335.92,0.00,0.11,0.10,880.95
Rheem_rm_stream_get_bidirectional_session,20,1235.00,276.00,7696.00,1582.51,0.00,0.12,0.07,587.40
Rheem_rm_remoteAccessHistory,20,4089.00,670.00,13459.00,4668.13,0.00,0.12,2.34,19323.00
Rheem_rm_deviceNotes,40,7622.00,582.00,20498.00,7935.95,0.00,0.15,0.11,767.38
Rheem_rm_deviceAlerts,20,20216.00,1127.00,32010.00,9700.20,0.00,0.10,8.66,84727.85
Rheem_rm_handleSystems,40,4535.00,307.00,13900.00,4877.83,0.00,0.17,0.70,4156.00
Rheem_rm_systemwidgets{getweather},20,24059.00,1661.00,52501.00,21709.27,0.00,0.09,0.08,872.00
Rheem_rm_systemwidgets{widgetread},20,7463.00,597.00,21208.00,8096.67,0.05,0.11,0.15,1442.05
Rheem_rm_deviceHealthStatus,20,8643.00,619.00,22591.00,8742.38,0.00,0.11,0.47,4404.00
Rheem_rm_deviceSchedule,20,8500.00,255.00,27702.00,10583.95,0.05,0.12,0.24,1973.10
Rheem_rm_detailswarrantyOverview,20,7333.00,592.00,21193.00,7541.66,0.00,0.12,0.11,898.00
Rheem_rm_systemwidgets{read},20,6665.00,256.00,19296.00,6957.27,0.05,0.14,0.20,1442.05
Rheem_rm_myRheem,20,3912.00,255.00,12497.00,3853.10,0.20,0.16,5.34,33850.60
Rheem_rm_remoteAccessSessions,20,2909.00,255.00,10572.00,2907.70,0.10,0.16,0.09,574.30
Rheem_rm_submitFeedback,20,6734.00,257.00,22801.00,7128.23,0.10,0.17,0.11,651.70
Rheem_rm_userSettings,20,4973.00,255.00,18121.00,5390.08,0.15,0.21,0.42,2078.45
Rheem_rm_findMyDevices,20,6260.00,255.00,20940.00,7187.31,0.20,0.21,0.21,1047.40
Logout,20,297.00,255.00,764.00,112.44,0.10,0.26,0.14,541.00

