Label,Samples,Average,Min,Max,StdDev,Error%,Throughput,KB/sec,AvgBytes
Login_Cont,10,5756.00,3286.00,9914.00,2080.80,0.00,0.31,5.15,17064.00
User_Profile_Cont,10,3906.00,1572.00,6592.00,1870.93,0.00,0.30,0.38,1273.00
Device_Management_Cont,10,13249.00,6796.00,20693.00,4803.77,0.00,0.18,3.13,17941.00
Device_Details_Cont,10,36826.00,19571.00,49958.00,9966.92,0.00,0.13,16.12,130046.30
System_Page_Cont,10,39678.00,16530.00,54688.00,12101.52,0.40,0.10,1.18,11708.30
Scheduling_Page_Cont,10,22081.00,11690.00,37857.00,7240.52,0.80,0.12,1.02,9090.00
User_Management_Cont,10,1619.00,260.00,4393.00,1264.48,0.20,0.21,6.87,33850.60
Remote_Sessions_Cont,10,1478.00,260.00,3898.00,1355.40,0.40,0.23,0.14,623.20
Faq_Feedback_Cont,10,1750.00,258.00,4472.00,1524.53,0.30,0.22,0.13,616.40
Settings_Cont,10,1412.00,260.00,4398.00,1402.93,0.20,0.22,0.44,1998.60
Find_my_device_Cont,10,3195.00,258.00,9505.00,3106.55,0.60,0.22,0.17,781.20
Logout_Cont,10,376.00,254.00,1330.00,318.79,0.30,0.28,0.16,581.00

